"ID"	"OrderLoc"	"Location"	"StartLoc"	"TypeEvent"	"Date"	"EndLoc"
1000	1	"VIE"	1985-01-01	"Birth"	1985-01-01	1986-01-01
1000	2	"SKA"	1986-01-01	"Transfer"	1986-01-01	1987-12-01
1000	2	"SKA"	1986-01-01	"Breed"	1986-12-01	1987-12-01
1000	2	"SKA"	1986-01-01	"End"	1987-12-01	1987-12-01
1001	1	"VIE"	1984-01-01	"Birth"	1984-01-01	1985-01-01
1001	2	"SKA"	1985-01-01	"Transfer"	1985-01-01	1987-01-01
1001	2	"SKA"	1985-01-01	"Breed"	1986-01-01	1987-01-01
1001	2	"SKA"	1985-01-01	"End"	1987-01-01	1987-01-01
1002	1	"VIE"	1966-06-10	"Birth"	1966-06-10	1967-06-10
1002	2	"USD"	1967-06-10	"Transfer"	1967-06-10	1968-06-10
1002	3	"HON"	1968-06-10	"Transfer"	1968-06-10	1984-04-28
1002	3	"HON"	1968-06-10	"End"	1984-04-28	1984-04-28
1003	1	"VIE"	1969-01-05	"Birth"	1969-01-05	1970-01-05
1003	2	"HON"	1970-01-05	"Transfer"	1970-01-05	1982-01-29
1003	2	"HON"	1970-01-05	"End"	1982-01-29	1982-01-29
1004	1	"VIE"	1971-10-18	"Birth"	1971-10-18	1972-10-18
1004	2	"HON"	1972-10-18	"Transfer"	1972-10-18	1973-10-18
1004	2	"HON"	1972-10-18	"End"	1973-10-18	1973-10-18
1005	1	"VIE"	1971-10-18	"Birth"	1971-10-18	1972-10-18
1005	2	"HON"	1972-10-18	"Transfer"	1972-10-18	1973-10-18
1005	2	"HON"	1972-10-18	"End"	1973-10-18	1973-10-18
1006	1	"UND"	1989-01-01	"Birth"	1989-01-01	1989-01-01
1006	2	"PUB"	1989-01-01	"Transfer"	1989-01-01	1991-06-02
1006	3	"FIT"	1991-06-02	"Transfer"	1991-06-02	1991-06-12
1006	3	"FIT"	1991-06-02	"End"	1991-06-12	1991-06-12
1007	1	"VIE"	1983-03-01	"Birth"	1983-03-01	1986-03-01
